second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
0,0:00,,[Speaker 1] การประชุมออนไลน์เขาบอกไม่ได้,,,[Speaker 1] ประชุมออนไลน์ก็บอกผมมา แล้วก็ปิดการประช…,[Speaker 1] ออนไลน์ก็บอกให้หนูหน่อย,
1,0:01,,[Speaker 1] การประชุมออนไลน์เขาบอกไม่ได้,,,[Speaker 1] ประชุมออนไลน์ก็บอกผมมา แล้วก็ปิดการประช…,[Speaker 1] ออนไลน์ก็บอกให้หนูหน่อย,
2,0:02,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] ครั้งที่ 14 จะไปลิ้งค์,[Speaker 2] แล้วก็ติดการประชุมครั้งนั้น ครั้งที่เท่…,
3,0:03,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] ครั้งที่ 14 จะไปลิ้งค์,[Speaker 2] แล้วก็ติดการประชุมครั้งนั้น ครั้งที่เท่…,
4,0:04,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] ครั้งที่ 14 จะไปลิ้งค์,[Speaker 2] แล้วก็ติดการประชุมครั้งนั้น ครั้งที่เท่…,
5,0:05,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 2] แล้วก็ติดการประชุมครั้งนั้น ครั้งที่เท่…,
6,0:06,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 1] เพราะอีกครั้งนึงเนี่ย ครั้งต่อไปวันที่ …,
7,0:07,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 1] เพราะอีกครั้งนึงเนี่ย ครั้งต่อไปวันที่ …,
8,0:08,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 1] เพราะอีกครั้งนึงเนี่ย ครั้งต่อไปวันที่ …,
9,0:09,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 1] เพราะอีกครั้งนึงเนี่ย ครั้งต่อไปวันที่ …,
10,0:10,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 2] ครั้งนั้นน่ะจะ เป็น ถ้า อย่าง นั้น ตอน …,
11,0:11,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 2] ครั้งนั้นน่ะจะ เป็น ถ้า อย่าง นั้น ตอน …,
12,0:12,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 2] ครั้งนั้นน่ะจะ เป็น ถ้า อย่าง นั้น ตอน …,
13,0:13,,[Speaker 1] แล้วก็ปิดการประชุมครั้งนั้น ครั้งที่เท่…,,,[Speaker 1] จะต้องบวก 1 นะ ครั้งนั้นน่ะจะเป็น ถ้าจำ…,[Speaker 2] ครั้งนั้นน่ะจะ เป็น ถ้า อย่าง นั้น ตอน …,
14,0:14,,[Speaker 2] ครั้งที่ 16,,,,,
15,0:15,,[Speaker 2] ครั้งที่ 16,,,[Speaker 2] ครั้งที่ 16 เดือนมิถุนายนบอกประชุมครั้ง…,[Speaker 3] ครั้งที่ 15,
16,0:16,,[Speaker 1] เดือนมิถุนายนบอกประชุมครั้งที่เท่าไหร่,,,[Speaker 2] ครั้งที่ 16 เดือนมิถุนายนบอกประชุมครั้ง…,[Speaker 2] เดือน มีนาคม บอร์ด ประชุม ครั้ง ที่ เท่…,
17,0:17,,[Speaker 1] เดือนมิถุนายนบอกประชุมครั้งที่เท่าไหร่,,,[Speaker 2] ครั้งที่ 16 เดือนมิถุนายนบอกประชุมครั้ง…,[Speaker 2] เดือน มีนาคม บอร์ด ประชุม ครั้ง ที่ เท่…,
18,0:18,,[Speaker 2] ของปีอ่ะ ของปี 24,,,,,
19,0:19,,[Speaker 2] ของปีอ่ะ ของปี 24,,,[Speaker 1] ของปีอะ เหมือนที่ตี ไปครั้งที่เท่าไหร่,[Speaker 1] ของ ปี อ่ะ มัน ปี เป็น ปี นึง,
20,0:20,,[Speaker 2] ของปีอ่ะ ของปี 24,,,[Speaker 1] ของปีอะ เหมือนที่ตี ไปครั้งที่เท่าไหร่,[Speaker 1] ของ ปี อ่ะ มัน ปี เป็น ปี นึง,
21,0:21,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,,,
22,0:22,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นค่ะน้องตอบผิดค่ะ ครั…,[Speaker 4] อ๋อ ถ้า ถ้า งั้น ค่ะ หนู ตอบ ผิด ค่ะ คร…,
23,0:23,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นค่ะน้องตอบผิดค่ะ ครั…,[Speaker 4] อ๋อ ถ้า ถ้า งั้น ค่ะ หนู ตอบ ผิด ค่ะ คร…,
24,0:24,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นค่ะน้องตอบผิดค่ะ ครั…,[Speaker 4] อ๋อ ถ้า ถ้า งั้น ค่ะ หนู ตอบ ผิด ค่ะ คร…,
25,0:25,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นค่ะน้องตอบผิดค่ะ ครั…,[Speaker 4] อ๋อ ถ้า ถ้า งั้น ค่ะ หนู ตอบ ผิด ค่ะ คร…,
26,0:26,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นค่ะน้องตอบผิดค่ะ ครั…,[Speaker 4] อ๋อ ถ้า ถ้า งั้น ค่ะ หนู ตอบ ผิด ค่ะ คร…,
27,0:27,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นค่ะน้องตอบผิดค่ะ ครั…,[Speaker 4] อ๋อ ถ้า ถ้า งั้น ค่ะ หนู ตอบ ผิด ค่ะ คร…,
28,0:28,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 1] ครั้งที่ 16 แล้วมันเป็นครั้งที่ 17 กรกฎ…,[Speaker 1] ครั้งที่ 16 งั้น ไป เลย 16 แล้ว ก็ 17 ก…,
29,0:29,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 1] ครั้งที่ 16 แล้วมันเป็นครั้งที่ 17 กรกฎ…,[Speaker 1] ครั้งที่ 16 งั้น ไป เลย 16 แล้ว ก็ 17 ก…,
30,0:30,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 1] ครั้งที่ 16 แล้วมันเป็นครั้งที่ 17 กรกฎ…,[Speaker 1] ครั้งที่ 16 งั้น ไป เลย 16 แล้ว ก็ 17 ก…,
31,0:31,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 1] ครั้งที่ 16 แล้วมันเป็นครั้งที่ 17 กรกฎ…,[Speaker 1] ครั้งที่ 16 งั้น ไป เลย 16 แล้ว ก็ 17 ก…,
32,0:32,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 1] ครั้งที่ 16 แล้วมันเป็นครั้งที่ 17 กรกฎ…,[Speaker 1] ครั้งที่ 16 งั้น ไป เลย 16 แล้ว ก็ 17 ก…,
33,0:33,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] 17 แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 1…,,
34,0:34,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] 17 แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 1…,[Speaker 1] แล้ว วัน ที่ 14 จะ เป็น ประชุม ครั้ง ที…,
35,0:35,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] 17 แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 1…,[Speaker 1] แล้ว วัน ที่ 14 จะ เป็น ประชุม ครั้ง ที…,
36,0:36,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,[Speaker 2] 17 แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 1…,[Speaker 1] แล้ว วัน ที่ 14 จะ เป็น ประชุม ครั้ง ที…,
37,0:37,,[Speaker 2] อ๋อ ถ้าๆ อย่างงั้นน่ะ น้องตอบผิด ครั้งล…,,,,,
38,0:38,,[Speaker 1] เพิ่มนิดหนึ่ง,,,[Speaker 2] คุณแซ่กเขาไปประชุมบอร์ดครั้งที่แล้วไม่ไ…,[Speaker 2] ขอ แทรก นิด นึง,
39,0:39,,[Speaker 1] เพิ่มนิดหนึ่ง,,,[Speaker 2] คุณแซ่กเขาไปประชุมบอร์ดครั้งที่แล้วไม่ไ…,[Speaker 4] ที่ แทรก เข้า ไป ประชุม บอร์ด ครั้ง ที่…,
40,0:40,,[Speaker 2] หรือแทรกเข้าประชุมบอร์ดครั้งที่แล้วไม่ไ…,,,[Speaker 2] คุณแซ่กเขาไปประชุมบอร์ดครั้งที่แล้วไม่ไ…,[Speaker 4] ที่ แทรก เข้า ไป ประชุม บอร์ด ครั้ง ที่…,
41,0:41,,[Speaker 2] หรือแทรกเข้าประชุมบอร์ดครั้งที่แล้วไม่ไ…,,,,,
42,0:42,,[Speaker 2] หรือแทรกเข้าประชุมบอร์ดครั้งที่แล้วไม่ไ…,,,[Speaker 2] เมื่อกี้ผม,,
43,0:43,,[Speaker 2] หรือแทรกเข้าประชุมบอร์ดครั้งที่แล้วไม่ไ…,,,,,
44,0:44,,[Speaker 1] ก็ได้ ก็ทำได้ ถ้าทำได้ก็ทำได้,,,[Speaker 1] ก็ทำได้,[Speaker 1] ก็ได้ ก็ ทำ ได้,
45,0:45,,[Speaker 1] ก็ได้ ก็ทำได้ ถ้าทำได้ก็ทำได้,,,[Speaker 2] ก็ทำได้,[Speaker 2] ถ้า ทำ ได้ ก็ ทำ ได้ ทำ ได้,
46,0:46,,[Speaker 1] ก็ได้ ก็ทำได้ ถ้าทำได้ก็ทำได้,,,[Speaker 1] แต่ตอนนี้คือออดิทยัง,[Speaker 1] แต่ ประเด็น คือ ออดิท หรือ ยัง,
47,0:47,,[Speaker 1] ก็ได้ ก็ทำได้ ถ้าทำได้ก็ทำได้,,,[Speaker 1] แต่ตอนนี้คือออดิทยัง,[Speaker 1] แต่ ประเด็น คือ ออดิท หรือ ยัง,
48,0:48,,[Speaker 2] เอ่อ ออดิตยัง ถ้าเป็นครั้ง 16 ยังไม่เห็…,,,[Speaker 2] เอ่อออดิทยัง ถ้าเป็นครั้งที่ 16 ยังไม่เ…,[Speaker 4] เอ่อ ออดิท ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,
49,0:49,,[Speaker 2] เอ่อ ออดิตยัง ถ้าเป็นครั้ง 16 ยังไม่เห็…,,,[Speaker 2] เอ่อออดิทยัง ถ้าเป็นครั้งที่ 16 ยังไม่เ…,[Speaker 4] เอ่อ ออดิท ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,
50,0:50,,[Speaker 2] เอ่อ ออดิตยัง ถ้าเป็นครั้ง 16 ยังไม่เห็…,,,[Speaker 2] เอ่อออดิทยัง ถ้าเป็นครั้งที่ 16 ยังไม่เ…,[Speaker 4] เอ่อ ออดิท ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,
51,0:51,,[Speaker 2] เอ่อ ออดิตยัง ถ้าเป็นครั้ง 16 ยังไม่เห็…,,,[Speaker 2] เอ่อออดิทยัง ถ้าเป็นครั้งที่ 16 ยังไม่เ…,[Speaker 4] เอ่อ ออดิท ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,
